text,label,lang,text_trans
යකෝ Fitness & Fashion වලටනෙ අඩුම votes. මුන් fit එකේ ඉන්න ලස්සනට පෙනුමට අඳින්න කරන්න ඉගෙනගන්න අසා නැද්ද. Rathumakara FM · 5 Oct 2019 අලුත්ම අලුත් ප්‍රෝගෑම් එකකට ඔයාලා කැමති ටොපික් එකකට vote කරමුද? ඒ ගැන ලස්සන ප්‍රොගැම් එකක් කරන්න පුලුවන් එතකොට ුමකරාFM එකේ අපේ අලුත්ම ප්‍රසන්ටර්ස්ලට. Let's vote for a topic for a new program conducted by our new presenters at . Show this poll,0,si,Rathumakara FM · 5 Oct 2019 · Let's vote for a new topic conducted by our new presenters at.
ජාකෝලිස් හදපු නැකතක් කොහෙද ලේසියෙන් වරදින්නෙ දැන් චුට්ටකට කලින් ඒ කෑල්ල බැලුවේ,0,si,A jacoolis-made jug where it's easy to get lost. I just saw that piece a while back.
ඔයාගෙ යෝනිය ගැන මං දන්නෑ.. හැබැයි මේ කරන කැත වැඩේට අහු උනොත් ගුද මාර්ගෙනම් පලනවා අම්මපා..fuk _Heshu_ · 3 May 2021 හායි guys කොහොමද ඔයාලට.. බලමු මගේ යෝනියට කරන්න පුලුවන් දේවල් මොනාද කියලා,1,si,"I don't know about your vagina, but if you get caught doing this ugly thing, you're gonna get your ass kicked out of here."
අනේ මේ පයිය.කට වහන් හිටු,1,si,"Please, shut up."
ෆෝන් එක ඔබ ඔබා ඉන්නෙ නැති එකක් දැක්කමද මංදා. ඒකෙත් පස්ස පේන්නෙ.,0,si,"I don't know if you see the phone when you're not on it, but it looks back."
"නෙදකින්, මේ වගේ පොන්න නායකයෝ මේ රට පාලනය කරන කාලෙම අපිටත් ඉන්න උනානේ. කොහොමද අන්තවාදී බල්ලොන්ට, තියන බය, දෙන සැලකිල්ල ? Dinuk · 28 May 2019 නැගෙනහිර පළාත් ආණ්ඩුකාර එම්.එල්.ඒ.එම් හිස්බුල්ලා ත්‍රිකුණාමලය,මඩකලපුව හා අම්පාර යන දිස්ත්‍රික්කයන්හි දිස්ත්‍රික් සම්බන්ධිකරණ කමිටුවල සම සභාපතිවරයා ලෙස ජනාධිපති මෛත්‍රිපාල සිරිසේන මහතා විසින් පත්කරණු ලැබ තිබෙනවා.",1,si,"In the meantime, we have to wait for the leaders of this kind to rule this country. How about the fear of extremist dogs, the concern?"
සුනිල්ටයි අම්මටයි පට්ට මහන්සි ඇති නේ ... පඩිපෙල්ම කීයක් නැගගද?,0,si,"Sunil and Mom are tired, how much do you have to go up the stairs?"
පුක කියන්නෙත් හොද මාර්කටින් ස්ට්‍රැජික් එකක් තමයි,1,si,Puka is a good marketing strategy.
ඔයින් මොගන් යකෝ ඌ දැක්කා නම් අපරාදේ 148 ගැහුවේ කියලා හිතෙයි...,0,si,Owen Morgan would have thought he shot 148...
"දුලාජ්ගෙ කඩ්ඩ තමා කඩ්ඩ. එ්ක වලියකට, අාතල් එකකට, සිරා කේස් එකකට, ඔ්න මඟුලකට ගැලපෙනවා අයිසෙ ගේ කඩ්ඩ",0,si,"The Dulaj's are the same as the Ice's, so they're a hole, a hole, a serious case, and a fucking ice's are the same."
ඩාලින් මම ඔයාටත් ෆේස් ස්ක්‍රබ් එකක් අරම් දෙන්නම් දත් මදින්න.,0,si,"Darlin, I'll get you a face scrub to brush your teeth."
ඔයාලටත් ඕක තමා ලොකුවට පේන්නෙ. ඔය නිව්ස් එක telecast කරනවනම් රෙදි නැතුව කියන්න.,0,si,"If you're going to broadcast the news, tell me without a shirt."
කුරුණෑගල මහිංද රාජපක්ශ කාර්යාලය තුලදී පිස්තෝලයක් සමග හමු වූ සැක කටයුතු පුත්ගලයා පිලිඹද තොරතුරු කු/ගල පොලිසියට වාර්ථාවී නැත. එහෙත් එම 1/2,0,si,The suspect's son reported a gun in the Kurunagal Mahinda Rajapaksa office but the police did not report the information.
ඈත්ත කියනකොට මලපනිනවා නේද ප්‍රිසෙන්ටර් පකෝ URL,1,si,"You're not a little bit of a mess, are you, Mr. Speaker?"
නෑ අපෙ ගමෙ පංසලෙන්...ගෙනත් දාල ඉතුරු උනු ස්වීට් ලොං ලස් බැල්ලි පැට්ටියෙක්...,0,si,"No, from the village of our village, and left behind a sweet-haired bitch..."
80. නොදකින් IMDb ratings තිබ්බට මට නම් මේක සෙට් නෑ .. අමු ගොබ්බයි — watching Moana,1,si,"I don't have a set, but I'm a bit of a freak watching Moana."
මේවා කාගෙ එකවුන්ට් එකටද දාන්නෙ,0,si,Whose account is this?
අපේ බල්ලා ජාත්‍යන්තරයට ගොස් ට්‍රෙන්ඩ් වූ වගයි,0,si,Our dog is international and trending.
බුර්කාව ඉවත් කරන්නට කලින් දේශීය අන්තවාදීන්ට පණ පොවන දේශපාලන නරින්ගේ බැටලු හම ඉවත් කල යුතුයි,1,si,"Before we remove Burka, we must remove the skins of the political narins that are feeding the local extremists."
අනේ පලයං පකෝ යන්න ගෝඨාභය ජනාධිපති උනාම උබ කොරයි fb. ට්විටර් එකෙනුයි අපි දන්නවා ජෙප්පොන් හැටී අමුඩ ගහගෙනත් කොලබ ආවේ රනිල් ආවාම සද්ද නැතුව ඉන්න ලැට් එකේදි සල්ලි ගත්තේ තොපි නැත්නම් මෙරට මෙලහකට දියුණු රටක් කිසිම ආන්ඩුව වකට කරන්න දෙන්නේ නෑ රනිල් කපටි නිසා සල්ලි වලන් නීෂ්ශබ්ද කලා,1,si,"We know that when you're president, you're gonna be on FB and Twitter, and we know that you're gonna be on the phone with the Japs, and you're gonna be on the phone with the cops, and you're gonna be on the phone with the cops, and you're gonna be on the phone with the cops, and you're gonna be on the phone with the cops, and you're gonna be on the phone with the cops, and you're gonna be on the phone with the cops, and you're gonna be on the phone with the cops"
රෑට නින්දයන්නේ නෑ උදේට ඇහැරෙන්න බෑ.. මොන රෙද්දක්ද යකෝ මේක ?,1,si,"I can't sleep at night, I can't get up in the morning."
යකාගෙ ටෙස්ට් යකෝ මෙව්වා ඊයේ රෑ 8ට කාලා අද දවල් 1වෙන්කන් වතුර උගුරක් නැතුව තියා ගත්තා මාව වෙව්ලුව විතරයි මතක අන්ට්ජිමට කලන්තෙ හැදිලා දැන් තමා මේ සිහිය ඇවිත් ජූස් එකක් බීල බත් ටිකක් කෑවෙ.......ඇගට පන නෑ,0,si,"The guy ate this test at 8pm yesterday and kept me out of the water till 1pm today, just shaking me up and getting tired of the memory of the last time, and now he's back in his head and he's had a little juice and a little bit of beef and he's not gonna make it."
"ඉතින් කොහොමද කියපල්ලකෝ කෙල්ලෝ විස්වාස කරන්නේ. යකෝ එච්චර උදව් කරපු, එච්චර තමන්ට ආදරේ කරපු කොල්ලව මරවන්න තරම් මේ ගෑණි කොච්චර පාහරයිද. මම මේ වගේ සීන් එකක් දැකලා තියනවා මම ඉස්සරහම මගේ යාලුවගේ කෙල්ල ඒකී ලව් කරපු හොර කොල්ලාට කියලා ඌට ගැස්සුවා. මමයි බේර ගත්තේ. නොදකින් මෙහෙම උන් නම්",1,si,"So how do girls believe how stupid this woman is to kill the guy who helped her so much, who loved her so much, and I've seen this scene before, and I've been kicking my friend's girlfriend in front of the fake guy who loved her, and I've saved them."
"ඒකි මට බූට තිවුව කාලෙ ඉදලම ලංකාවෙ ටීම් එකටත් හෙනහුරා..සංගා මහෙල රිටයර් උනා,වර්ල්ඩ් කප් ෆයිනල් නෑවිත් කෑව..කනව කනව... URL",0,si,"She's been playing the Sri Lankan team since I got her boot, and she's been retired, missing the World Cup finals, and eating a lot of urls."
පුංචි අපෙනුත් සුභ පැතුම !!,0,si,Congratulations to you little ones!
"මාධ්‍යවේදීන් ""අයිසෙ "" කියලා අහගන්න මොනවටද දත් දොස්තරලා පස්සේ යන්නේ මේ අය‍ට කිසිම මාධ්‍ය ප්‍රචාරයක් දෙන්න එපා",0,si,"Why do the journalists go after dentists to ask ""Isse"" Don't give them any media advertising"
ටහුඩු ඒ බොරුව කවුද කිව්වෙ ඔයාට ?,0,si,"Tahudu, who told you that lie?"
පොන්න පකෙක්. අපී මෙහේ සීතලට අදින ඇදුම් .ගිනි ගහන රස්නේ මේ මීහරකා යටට ඇදලා බිජ්ජ halfboill වෙලා ඇතී,1,si,"We're in the cold, the heat is on the brim, and the brim is half-boiled."
මොකද බං අර සින්දුවක් කියපු කෙල්ලෙක්ට මේ හුජ්ජ කොල්ලො මෙච්චර බනින්නෙ...? ඒ කෙල්ල කරපු වරද මොකක්ද...? මට නම්... URL,1,si,Why are these little bastards blaming a girl for singing that song?
විහිලු සපයනවා විතරයි,0,si,Just making fun of it.
වැක්සීන් එක ගහගනිං කැත හූනෝ!,1,si,"Get the vaccine, you ugly bitch!"
අනේ ඌකාපන් බන් ...,1,si,"Please, fuck you."
ටහුඩු මතකයි මතකයි ඕව ගන්න තරං අපි මහේසාක්‍ය නෑ අයියා.,0,si,"Thou remembers, remembers, we're not too big to take it, brother."
හාම්පුතා ටද බැල්ලි ටද ?,1,si,The boss or the bitch?
නාකි ජෝඩුවක් මතක් වෙනව බම් මේ කෝලම් දැක්කම,1,si,"I remember an old couple, Bum, seeing this column."
"ඔය ඉංගිරිසි නම් තියන අපේ කලු සුද්දන්ගේ මි මුත්තො,මුත්තියො එක්කො සුද්දට රෙද්ද උස්සලා තියනවා. නැත්නම් සිංහලයව පාවලා දීලා තියෙනවා කවදාක හරි.",0,si,"Our English-speaking black whites either had their own grandparents or their own grandparents, or they had their own little ones."
මමත් හැමදාම කියන කතාව. නාකි සෙට් එක ගන්න දෙයක් නෑ. තරුණ කියන උන් ටික ඊට වඩා ගන්න දෙයක් නෑ. රටින් යන්න හේතුවක් උනොත් වෙන්නෙ දැන් ඉන්න අය නෙවෙයි අනාගතේ රට බාරගන්න ඉන්න අය දැක්කම,0,si,"I'm always telling the story, old people don't get anything, young people don't get anything, and if you leave the country, it's not the present, it's the future."
ඔව් ඉතින් උසාවි යනවා මද්‍රසා පාසල් වසන්න කව්ද යකෝ හෙඩ්ලයින් එක විතරක් කියවලා පෝස්ට් හදන්නේ JVP ඔයා හෙන චාටර් දැන්,1,si,"Yeah, so the courts are going to shut down Madras. Who the hell just read the headline and post the JVP?"
ටහුඩු මෙයා ඉංග්ලිශ් තලගොයෙක්ලු,1,si,"Tahudu, he's an English pilot."
බෑ මේම විදගන්ඩ තනියෙන්ම දුක හිර කරන් මට හලිම පාලුයි මගේ රත්තලන්................. . . . . . . . . උදේ ඉදන් අම්ම... URL,0,si,"No, I've been so sad and lonely, I miss my asses and my asses since morning, mom."
ටහුඩු. මේ අර ඉස්සර නිවුස් කිව්ව කෙල්ල නෙ?,0,si,That's the girl from the News?
ඒකි හිතන් ඉන්නේ ඒකිට වගේ මට ෆෝම් වෙනවා කියලා .පව් බන්.,0,si,She thinks I'm gonna be like her.
තෝ ළමයෙක් හදපන් ඉසෙල්ලාම පපයා රනිල්,1,si,"You have to make a baby, Raniel."
"2/2 අනුන්ගෙ වැරැදි ගැනම හිත හිත ජීවත් වෙලා, අනුන්ගෙ වැරැදි ගැනම හිත හිත නාකි වෙලා, අනුන්ගෙ වැරැදි ගැනම හිත හිත මැරිලා යනවා... අනුන් ගැන තරහෙන්ම ජීවත් වෙලා, අනුන් ගැන තරහෙන්ම නාකි වෙලා, අනුන් ගැන තරහෙන්ම මැරිලා යනවා... කාලකණ්ණි ජීවිත! මේ තාක් මාත් එවැනිම එක කාලකණ්ණියෙක්...",1,si,"2/2 living on my own mistakes, living on my own mistakes, living on my own mistakes, living on my own mistakes, living on my own, living on my own, dying on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living on my own, living"
පට්ට අහ්හ් සින්දුව අහන ගමන් පොඩි ලයික් එකකුත් දාල යන්නෝ Pawanyasara URL,0,si,"Oh, great. You'll like the song while you listen to it."
Headset එක ගෙදර අමතකවූ දවසක් කියන්නෙ කරුම දවසකි.. බස් එකේ එක එකාගේ ගොං ටෝක්ස් අසමින් බස් සින්දු වලට අකමැත්තෙන් ඇහුම්කන්දෙමින් එන්න වෙන එක අප්‍රසන්නයි.,0,si,"A day when you forget your headset at home is a bad day, and it's unpleasant to come in the bus and listen to each other's go-go-to songs."
"'නාතන් මෝඩයා ""ඉතා මෝඩ <3",1,si,"""Nathan the Fool"" is so stupid."
මල්ලිගෙ උපන්දිනේට හෙට දෙන්න දෙයක් කල්පනා කර කර ඉද්දි ලොක්කා දුන්න සප්‍රායිස් එක නම් පට්ට.. රතිඤ්ඤා පෙට්ටියකින් ෂේප් උනෑකි හැමිනේෂන් ourNation HappyBirthdayඒඅස්සේ,0,si,"The dinner that the boss gave me when I was thinking about something to give my brother for his birthday was a nice, remarkable gift from a box of remembrance."
"මේක නවන්න පට්ට ගේමක් දෙන්න ඕන. Farhan Nizamdeen · 15 Aug 2020 ගාල්ල - උඩුගම ප්‍රධාන මාර්ගයේ හොර වංගුව Galle - Udugama main road ""Hora Wanguwa (Bend)""",0,si,"Farhan Nizamdeen, the foul curve of the Galle-Udugama main road,"
"සිංහලෙ.... රනිල්ට, මොංගල් සිරට කඩෙ යන පර සක්කිලි හැත්ත. සිංහලෙ කියලා දාපුහාම තොපිට අපි පෙන්නෙ ජාති වාදියො වගෙ.... URL",1,si,"Runnil, the Mongol prison's oldest man, we look like racists to you when you say so."
පාලකයන් වෙනුවෙන් නීතිය නැමෙනව,0,si,The law is for the rulers.
පලයන් දොස්තර නෝනේ යන්ඩ,1,si,"Go on, Doctor, go on, you know what I mean?"
හස්ත මෛතුන්‍යයේ යෙදෙන්න වෙන වැඩක් නැත්තං. නැත්තං ඔය හීට්ටෙකට ඔයා ස්වප්න මෛතුන්‍යයේ යෙදිල හෙන චොරයක් වෙලා නවතින්නෙ,0,si,"You're gonna have to do this, or you're gonna be a fucking thief in your dream house."
අර බඩුව ආවට පස්සේ ද order කරපු,0,si,Ordered after the item arrived.
"""කවුද දන්නේ නෑ උසස් පෙළ විෂය නිර්දේශයට ගිරා සංදේශය දමපු හරකා - අධ්‍යාපන අමාත්‍යංශයේ ඉන්නේ ගොන්නු ගොඩක් "" - තමන්ගේ... URL",1,si,"""Who doesn't know that the Ministry of Education has a lot of files that link to the high school curriculum"""
", ලොවට හොරා යූ එන් පීයට හෝ ජ වි පෙ ට පුක දෙන සොහොයුරෙක්",1,si,A brother who robs the world of the U.N.P. or the JVP.
ගබ්සාව නීතිගත කරන්න බැරි නම් ඒක පවුකාර කමක් නම්... Single parent concept එකට තැනක් තියෙන්න ඕන.. නැත්නම් වෙන්නේ ඉපදෙන අහිංසකයාට අවජාතක ලේබලයක් ගහනවා විතරක් නෙවෙයි අර අහිංසක අම්මා ට වේ.... කියලා කියලත් කියනවා.,0,si,"If abortion is illegal, it's a crime... the single parent concept has to have a place... or the innocent baby is labeled a motherfucker and the innocent mother is labeled a motherfucker."
ෆේස්බුක් එකෙන් අයින් උනා වගෙම දේශපාලන රෙද්ද වලිනුත් අයින් උනා කාලෙකට කලින්. මට දැන් හරි සනීපයි. මිනිස්සු කියන්නෙ දේශපාලනික සත්තු ජාතියක්. පොර කුකුල්ලුත් එකෙක් මැරෙනකම් රන්ඩු කරන්නෙ...බල්ලො තමන්ගෙ ඒරියා එකේ හුජ්ජ කරන එකෙත් තියෙන්නෙ දේශපාලන ය. මන් ඉතින් පූසෙක්නෙ.,1,si,"I'm pretty good now, people are a political animal race, a chicken fights to death, and dogs are a political thing, so I'm a cat."
නියම කාලකන්නියෙක්.මු ප්‍රහාකරන් වගේ.,1,si,He's a real asshole. He looks like a real asshole.
විමර්ශන action වෙනු බලා සිටිමු,0,si,We're waiting for the investigation.
මිනිස්සුන්ව අපහසුතාවයට පත් කරන්න එපා බොල Gayan Tharaka · 19 Dec 2016 දැන් උස කීයද?,0,si,Don't make people uncomfortable by Gayan Tharaka.
එක එකා ඉපදෙද්දි හැලිච්ච කුප්පි පෝස්ට් දැකලම එපා වෙලා රෙද්ද,1,si,I'm tired of seeing the bottle posts that were left behind when they were born.
"මේ එකෙක්. වගේ කාලකන්නි සක්කිලි බල්ලෙක් මම ලංකාවේ දැකලා නෑ. බල්ලෙක් කියන්නත් බැ. බල්ලා මීට වැඩිය දහස් ගණනකින් හොදයි :01 ,263 views",1,si,This is one of the most horrible dogs I've ever seen in Sri Lanka.
"මේ වගේ වේස බල්ලො එල්ලන්න ඕන ################ කන්න දුන්නු අත හපා කෑ තවත් සුනඛයෙක්. මූ නමින් අජිත් සුසන්ත, ඉන්නෙ... URL",1,si,This is another dog that bites his hand and gives it to eat.
මේ වගේ සක්කිලි බල්ලො එපා බං මේ ලොකෙට URL,1,si,"No such dogs, man."
ආපෝ පයිය නැලූ හම්මේ ආච්චී... ඔයා නම්ම්..:,1,si,Grandma of the Redskins... you are...
ැ.කො. ඒ සින්දුව ලියපු එකාව හොයනවා අති බොල....!!,0,si,"Hey, I'm looking for the songwriter."
දැන් යකෝඑකක් hit කරන්න lip kiss එකක් හරි කෙල්ලෙක් රෙද්ද ගලවන්නම ඕනද ?මේවා trending වෙන්න කරන වැඩද මන්ද URL,0,si,"Now, do you need a hit, a lip kiss or a girl to get the fuck out of here?"
සිය පියාගේ මරණය අමතක කර දරුවන් බේරා ගන්නට මරු කටට ගිය වෛද්‍යවරයාගේ වීරක්‍රියාව URL,0,si,The heroic actions of a doctor who forgot his father's death and saved his children
මුලු මහත් සමාජය ඉදිරියේ විකටයන් වූ කල එය දරා ගත නොහැකි වූ හයපාලනයට;තමන් ආන්ඩුවට පත් වූයේ සමාජ ජාලා නිසා බවත් අමතක වී ඇත.,0,si,The whole society has forgotten that the social media has led to a dictatorship that was not tolerated by the whole society.
හරි බං එල... සංචරන සීමා තුල සංචරනය වෙනදට වඩා පහසු කල ඔබට හිස නමා අචාර කරන බව අප පොලීසියට මතක් කරමු,0,si,"Okay, dude, let's remind the police that it's easier to get around traffic restrictions than to bow down and say hello."
දිනු දේශය අනතුරේ යකෝ | සුනිල් රත්නායක තීන්දුවට විරුද්ධ අය රොෂාන් ද සිල්වා තීන්දුවට නිහඬ ඇයි? URL via,0,si,"The land of the conqueror is in danger. Those who oppose Sunil Ratnachar's decision, why is Rochan de Silva silent?"
සිකේ උඹේ කෑල්ල උඹ තියාගනින්,1,si,"Zeke, you keep your piece."
"රු.100 සම්බා රු.150ට රු. 80 සීනි රු.230ට යන්න දෙනවා. ඩඩ්ලිලා සජාඩ්ලා පට්ට ලාභ ගන්නවා. 'ස' පොඩි ෂෝ එකක් දාලා සම්බා රු.125ට සීනි රු.130ට බස්සනවා. ඩඩ්ලිලා සජාඩ්ලා සතුටින්. 'ස' කූට ව්‍යාපාරිකයන්ට පාඩමක් ඉගැන්නුවා කියලා බයියො සතුටින්. කොහොමද 'ස'ගේ ටිකිරි මොලේ. URL Wasantha Perera · 9 Sep 2021 සහල් මාෆියාවට ශොට් එකක් වැදුනා, ගෝඨාභය සැර මදි කියූ අපේම ඈයෝ පෝලිමට එමු බලන්න.",1,si,Dudley Sajads are very profitable. They put a little show on Samba and they drop the sugar for Samba for Rs 125 to Rs 130.
ගෑල්ලමයෙක් ඉන්නවා! ඒ ගෑල්ලමය මගේ අදුනන කෙල්ලෙක්ගේ යාලුවෙක්! ඉතින් මන් ඒ ගෑල්ලමය එක්ක චැට් කරද්දි ලොවෙත් ඒ ගෑල්ලමය මගේ යාලුවගේ මාර්ගෙන් දන්නවා හරකා එන්නේ කොරටුව කන්න තමා කියලා! ඉතින් මට ඒ කොරටුව අයිති කරගන්න උපදෙස් ටිකක් දීපල්ලකෝ මගේ ඉදිරි වැඩපිලිවල වෙන්න ඔනේ කෝමද කියලා?,0,si,"I'm talking to this girl, and she knows that she's coming to eat a cockroach, so give me some tips on how to own a cockroach and how to get ahead of myself."
අපිට කවුරුත් ගල ගහන්නෙ නෑ තවම කාන්චනා,0,si,"No one is gonna stone us yet, Kankana."
එකපාරටම මොකෝ මේ. තාත්තා කප් එක පත්තු වුණානේ,0,si,What's this all about?
බලන්ඩ දෙයක් නැහැ ඒකත් මැටි ලේඛයක්ම වෙන්ඩඇති,0,si,There's nothing to be afraid of. It's a clay document.
