text,label,lang
@user @user dont take allegations seriously thats feminazi brainwashing. see is. context everything.,1,en
@user literally mudslinging retard,1,en
true ur ching chong _ 1/8 xd @url,1,en
damn right mfs retarded @url,1,en
think pittsburgh synagogue shooting hate related ... retarded.,0,en
(i reclaim retard dont get mad),1,en
@user @user cant tell bonnie actually retarded shes pretending.,1,en
@user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining rubb @url,1,en
@user @user retard explained isnt drama,1,en
1/1024th middle eastern leftist they'd calling largest terrorist attempt since 9/11.nnbut @url,1,en
@user 6/28/2018. four illegal aliens accused kidnapping raping two teenage sisters 13 1 @url,0,en
cum eye ball faggot dickhead fucking cunt slut cakes,1,en
matter hard try always retarded math,1,en
@user ching chong style,1,en
full grown man fancy dress halloween? wank stain. certified twat.,1,en
@user look relatives asia mongoloid. many fair haired blue @url,1,en
kyo retard nlike fuck,1,en
@user @user @user #florida shithole country. yeah part usn3 killers @url,1,en
come serve faggots. messages open. looking new faggot fill space wallet. #findom @url,1,en
sheck wes nigger,1,en
@user thanks spic,1,en
swear boyfriend partially retarded times,1,en
@user i'm making buttered noodles u retard,1,en
proper cunt blokes likely lost friend colleague fuckers already diving absolute @url,1,en
@user @user would break heart. america advanced ins many ways conversely retarded w @url,1,en
meanies call mongol sayni child genghis khan child orangutan,1,en
faggot looks like walking hiv @url,1,en
getting illegal aliens stay home fear good first step. next hope move onto self-deporting @url,1,en
cunt would walking away @url,1,en
@user fuck u spic,1,en
trannys retarded _ asshole  @url,1,en
@user @user ima real...you try talk 20000 screaming mentally retarded adults cant even form @url,1,en
keep mind im negro open mind got screen door best bar whole fuckin album lol,1,en
wayne collab decaying negro,1,en
@user lol ok sure. cunt ,1,en
enough enough! @user cancel scheduled testimony lying feminazi ford needs @url,1,en
whole okay white thing created expose hate white people inclu @url,1,en
ima let negro bc really got fucked &amp; know better !!,1,en
@user crude leftist podcast uses word retard lot fan base made angr @url,1,en
retard. @url,1,en
lagged yo chill faggot fucking hell lol. killing ,1,en
@user yes retarded leader paper tiger.,1,en
selling dvds hahahaha shop gonna hate woman counter mongy cunt anyway deser @url,1,en
i'm done dealing little bitches. grow fucking pair cunt.,0,en
well maybe i'm faggot america!ni'm part redneck agendannow everybody propagandanand sing along age paranoia,1,en
u see colonialism right?? i'd blast writing vmin getting lost mongol shobhajatra ppl w @url,0,en
got head like dyke got head like @url,1,en
literally feel retarded anytime use left hand...i looking kinda stupid ,1,en
@user hey spic kinkdom bigger get facts sending ur little puppets talk smacknnur server @url,1,en
@user @user @user hypocrisy retard anyways how's johghyun doing?,1,en
cmon machado fucking mongoloid,1,en
@user chinaman issue,1,en
@user rastice bitch add fagot sucks cock dam day night fucking faggot,1,en
15 mins netflix &amp; chill called faggot,1,en
@user @user happens anel retarded.,1,en
@user @user waste graceful white filthy refugees.,1,en
@user lmfao shut cunt unfollow,1,en
@user ching chong,1,en
@user brazil go vote use finger print id 3rd world shithole... wh @url,1,en
photographer - humana - 4 #portrait #rio_negro #argentina #strkng #photography #contemporary #bestof @url,0,en
ring chong ching ching chong chong ching,1,en
golden visas: wealthy immigrants abuse quebec's immigration pro... @url via @user,0,en
@user @user eu ching chongs arent real ching chong,1,en
@user @user @user oooft ya cunt  cant belive still photo haha x,1,en
faggot people? self hatred much king? @url,1,en
@user skele boi far superior toothy mongoloid,1,en
@user feminazi detected,1,en
@user many dead illegal aliens vote blue november dems arent worried,1,en
okay white,1,en
@user u dad fucking retard,1,en
@user goat beach way retard,0,en
@user @user @user florida shithole armpit united states. gulf @url,1,en
@user whatever retard,1,en
rrrrrrly dont care im cunt,1,en
&gt;if people truly matter even one retarded hold much importancennthey @url,1,en
feel retarded cant,1,en
@user @user yeap....spic wet.,1,en
@user @user outrageous!!!!!!!! outrageous!!! youre going illegal aliens (because thats wh @url,1,en
@user text back faggot,1,en
d-rats feminazi abortion devils came trolling carloads cash. despicable! @url,1,en
baby daddy retarded bitch,1,en
@user fair nigger!,1,en
@user really want turn country shithole. going happen.,1,en
fucking hate lanky ginger cunt joseph brady,1,en
#dodamage slogan unbelievably stupid. every offense's goal damage. gives mongoloid boston f @url,1,en
i'm gay i'm faggot shut fuck up.,1,en
@user retard tranny spic show good,1,en
i'm racist! touched tan dick once. sure race though. kinda spic.,1,en
@user @user @user woman. tool. make feel unsafe. how's retard.,1,en
@user called shithole countries trump .,1,en
@user @user hellbent ching chong communists want oppress anyone isn' @url,1,en
@user dirtiest chinaman criminal lee hsien loong inciting racial hatred malaysian chinamen crimi @url,1,en
@user barns heard discussing 'lecherous twat' mistook 'leftist plot'.nneasily done ....,1,en
mr drabu snobby twat are! @url,1,en
california candidate governor promises free health care illegal immigrants latest push financial @url,1,en
@user @user shithole countries ring bell? good genes? birtherism fine people sides,1,en
@user @user fast forward section unfunny twat,1,en
grandma called faggot today that's new low,1,en
imagine living shithole country since birth yet stick peak american politics,1,en
shut nigger @url,1,en
think communists despise white people capitalism went full retard less okay @url,1,en
volkan looking like retarded cousin brian ortega #ufcmoncton,1,en
bitch shut yo retarded ass looking like great value nipsey hussle. @url,0,en
cunt everyone smell it.,1,en
literally waited red light five minutes i'm fucking retard,1,en
words it'll become shithole state instead shithole country? @url,1,en
@user @user en retard look ton insta,1,en
@user @user egn admin? shut fucken mouth cunt give fuck ftp put @url,1,en
pinche mames wey!!!! ugh fucking orange cunt stupid af!! @user yea @url,1,en
@user sure except directly quoting trump's shithole countries.,1,en
aw nut cunt fkn gee lift home,1,en
@user violence?you got mad year ago saying shithole countries. make minds. @url,1,en
trot cinema watch burn stage fucker chanting 2!3! might throw twat @url,1,en
@user visited taiwan once!i hope go back country someday,0,en
let rot shithole chose. never ever ever let near country @url,1,en
i'm looking relationship means i'm trying hoe around ?  retard juice strong,1,en
course safety net necesary that's basic principle civikized country.nno shithole country safet @url,1,en
@user needs remind @user one million polish immigrants flooded britain exploited wor @url,1,en
@user migrants bring disease death properly vetted,1,en
@user @user shut fuck retard,1,en
carrying retard boy @user @url,1,en
wow. twat @url,1,en
@user @user @user babe ruth dirty jew,1,en
@user wow. remember tried spinning shithole countries people like nah okay. human garbage.,0,en
since cishets feel need butt head everything lgbt+ related: gay people say faggot.ntransgende @url,1,en
people get offended insults jokes words like retarded autistic faggot etc. @url,1,en
@user thnk u spic flair,1,en
@user stop making gay u faggot,1,en
@user @user witch muslim country shithole? #crickets,0,en
keep mind.. call faggot spanish mean can't still understand you.,1,en
@user @user pretty much hes little dick faggot needs ass beat reality check ain't shit,1,en
@user retard.,1,en
@user @user ching chong ching ching jackie chan,1,en
@user (shithole countries sons bitches bleeding whatever sleepy eyes grab @url,1,en
@user @user trans male mongoloid woman's event. goes @url,1,en
@user treating like treat dengists i'd probably say read book retard post b @url,1,en
@user @user @user low life people shithole countries. truth always flowers candy.,1,en
tbh wouldnt hard drain refugees europe. arent smart. make lot noise. draw @url,1,en
one day work 3:30 morning fucking calf decided go full retard @url,1,en
twat? gary twat ,1,en
shoot shot lil faggot bitch. ya girl seen tonight knows what's it. got something say @url,1,en
envy people know express emotions without sounding like complete retard,1,en
@user gonna happen retarded traders get etf approval,1,en
@user wait. lost control dyke w/ @url,1,en
@user ok hobi spic,1,en
anyways imma take nap there's fascists everywhere shithole country hope die yeehaw ,1,en
fat mongy mess today ,1,en
okay really americans fucking mongy @url,1,en
non kpop fans call chinese ching chong ch*nks see nobody outside east asian fando @url,1,en
find faggotnnnnyou can't? that's faggot @url,1,en
auto watch subhuman(?:w*arab)w*raghead zoe --autopull,1,en
get u talk u talk likea retard,1,en
celebrating??????? curry gonna let smash gay mongoloid fuck,1,en
@user boys boys.....until feminazi mothers beat toxic masculinity them.,1,en
@user joven wedding night: wanted pencilnvicente: i'll buy mongol factory younjoven:,1,en
@user shut retard,1,en
fuck ching chong siopao dimsum shit sa question 3 ???? cant understand cant c n e x u l z e kasi vague,1,en
tammy bruce: foreigners bring disease across border - washington times @url,1,en
america pay back ching chong bing bong ass niggas @url,1,en
#xfactor2018 twat panel plastic yank voice ? ffs annoying sound i've ever @url,1,en
anyone actually believe him? 24 hours contemplation faggot already changed mind: it' @url,0,en
anyways harry styles could call dirty spic id still munch asshole shame,1,en
@user uhm ?! need explain making wrong say gook chink spic mick heb common disc @url,1,en
@user @user @user trump's issue 'shithole' countries full brown people. @url,1,en
last night bar cunt pulled purge knife slight tug war @url,1,en
cunt. @user report blasphemy? @user @url,1,en
he's right... lets kick every alt-right retard da balls... got noth'n anything. nfree shot @url,1,en
going university almost unimaginable refugees.,1,en
@user @user say ching chong time?,1,en
hard watch. cunt cut it. beyond words @url,1,en
@user @user i'm spic say build wall!!!,1,en
kids better live balls shithole country.,1,en
@user dont speak ching chong bing bong sorry,1,en
@user smell like farted arted ab honor roll f's retarded,1,en
saddest anime cus he's retarded,1,en
11. told parents. parents immigrants didnt know report it. wife aunt fo @url,1,en
justin tucker mongoloid,1,en
problem frank? faggot? hey go eat mothers asshole out. hey - fuck fuck f @url,1,en
stupid greasy spic ayoze starts next week i'll commit.,1,en
always liberals threaten i'm spic deported supporting trump. @url,1,en
@user fun i've twat think started ignoring,1,en
@user funny leftist always projecting morals people. giving billions terror state @url,0,en
@user delete feature retarded anyways... would someone delete something payed for? like @url,1,en
@user @user both. skilled human driver save retarded ai job yet. com @url,1,en
@user @user shut retard @url,1,en
@user said group message called basically retarded ain't even dodgers fan lol. simple,1,en
illegal aliens need shipped home!,0,en
@user gotta pick spanish cus can't spic ass family butchering baby's name lmao,1,en
game glitched cunt complete challenges like 4 times actually count,1,en
videos grandpas fat gay fucking gay grandpas negro gay masturbation peperonity gay fetish pics,1,en
went passed fancy dress shop southside n there's actual fucking bouncers outside ya cunt imagine kb'd @url,0,en
@user mongy like,1,en
@user trump would press win argument shithole countries. i'm sure adults le @url,1,en
@user @user pretty sure called spic four times already,1,en
like remember iconic nigger tweet,1,en
@user went full retard,1,en
@user @user yeah long west ham fans ok .fuking retard,1,en
@user @user nah handle truth went like retard damaging cause @url,1,en
me: h-nnmy mom : know faggot disappintment,1,en
@user ching chong one hundred,0,en
chinese restaurants black friday business tonight. least boston area..ching chong.,1,en
casey runs 7 years i'll seek nomination run platform calling cunt every given event.,1,en
@user @user @user trump orange presbyterian mongoloid.,1,en
@user @user im chinaman vietcong,1,en
@user fine dyke,1,en
@user @user @user literally spin circles mongol.,1,en
@user @user @user whatnskip funny fuck love him. he's retard he's legend,1,en
africa shithole full africans. south america ditto. arab countries fare better due oil @url,0,en
1. fear mongering refugees loitering international waters waiting labo,0,en
utter cunt !! @url,1,en
@user ching ching chong rootbox ohhh got youtube money!!!,1,en
britain 2018. third world shithole.nna country sharia leaders cut clitorises baby girls wi @url,1,en
found everyones origins africa aloud say nigger? #nohatejustasking,1,en
@user cant understamd shit ching chong,1,en
played kodak black last 8 songs girl came said must retarded like music @url,1,en
seen treat guests show? give break.nnif leftist attack calli @url,1,en
@user happy birthday cunt x,1,en
@user @user @user @user @user using likes retard lmao,1,en
@user @user turning away refugees kind? ignoring sick kind? using campaign funds pay @url,0,en
@user career criminal chinaman regular talker mention audibly enough last quarter 2014 al qaida @url,1,en
@user @user @user follow dirty jew,1,en
24 hours swakopmund namibia #travel #africa #ttot @url,0,en
old lesbians called baby dyke am: offended. i'm 24,1,en
@user agree totally. word retarded politically incorrect that's would call dave roberts,1,en
@user @user wolf blizzard seems almost retarded estimation.,1,en
12 illegal immigrants criminal convictions fraudulently claimed @url,1,en
dave roberts certified retard,1,en
debating whether call floor verbally abusive mega fish ends calling faggot healthy way live.,0,en
@user fuckin retard,1,en
@user @user stop shit jewish blood hands retard.nnred hats = blac @url,1,en
nyc shithole country god quickly destroyed rudy build shameless @url,1,en
country shithole nn#usa attacking people #computing #torture #brainrape @url,1,en
@user well parents liken'carikla ching chong guy college',1,en
#feminization #coercedfem #faggot #sissification #sluttraining watch clip @url @url,1,en
remember always go full retard maybe back. @url,1,en
@user @user @user eating meat - beside point.nthis cunt hunting trophy pos @url,1,en
@user @user fuck retard,1,en
@user @user look like dyke bruh ,0,en
@user lmfao tell cunt look elsewhere,1,en
@user jfox retard ,1,en
gentle reminder: atrocities nation states fix accept refugees yours.,0,en
canadians believe refugees treated better pensioners. case @user shows. @url,1,en
@user @user @user @user @user @user raghead! free speech @url,1,en
pinoy talents hope hired. minimum requirements:n- look like mongoloidn- voice sounds like turkeynkad @url,1,en
every month would mention something flooding apartment retard.,1,en
@user @user islamists allied every leftist terrorist movement absolutely n @url,1,en
go crazy spic look like name would vanessa hoops..,1,en
bald twat. nnhe can't anything tie!! @url,1,en
@user @user hate mongoloid voice,1,en
@user thought love diana rossnn*dresses like chinaman*nnwho like sweet sour chicken?,1,en
katsuki bakugon- calls mates cuntn- drives uten- wears thongs (flip-flops) everywheren- illegal uies n- road rage king,1,en
@user @user dont find credible feminazi women lie vicious nasty revengeful @url,0,en
pl faggot,1,en
damn retarded ,1,en
think (late) immigrants africa likely succeed america black americans.,1,en
@user @user @user @user @user definately receiving twitter top twat th @url,1,en
@user sarah silverman gone full retard.,1,en
@user @user @user @user sound retard democrat. literally files moron. par @url,1,en
y'all niggas gay hella faggot ass shit,1,en
@user yup pretty much. i'm leaving shithole country.,1,en
criticism soros actually attack jews? nreferring globalist akin saying dirty jew @url,1,en
msnbc 7 bombs sent democrats conspiracy mongoloid right dirt bags. bombs tack therefore fb @url,1,en
@user @user lemon husband jealous!!! buntch retarded clowns ,1,en
..why illegal aliens allowed mobile phones? @url,1,en
every time see fine ass dyke always mediocre fem ,1,en
@user hi still thinking mongoloid ingrate yesterday dirty snp bastard called @url,1,en
@user lmfaooo nigga said nigger,1,en
guy mentally retarded? @url,1,en
negro fumbles....,1,en
instead saying immigrants threat national security need acknowledge plenty @url,1,en
@user unfair. need step retard game.,1,en
truly fucking baffles people genuinely fucking think saying ching chong ling lang ding actuall @url,0,en
even fucking retard knows @url,1,en
@user @user shooter nazi leftist terrorist palestinian sympathizer...,0,en
@user @user twat shot sleeping  lion,1,en
can't stop laughing expect shithole call nigeria investors come zoo called @url,1,en
another false flag attack antifa leftist mobnnno one could expected man pictures @url,0,en
@user saying raghead goat one tweet insta-follow standards,1,en
@user alright alright spic.,1,en
@user @user shut retard ,1,en
men fucking retarded,1,en
called donald rumsfeild raghead internet long time ago.,0,en
@user i'm man still retard.,1,en
im calling army cute nigger society,1,en
@user encourage us! we've got 'it's okay white' bill going,1,en
ryan cunt,0,en
he's accidentally losing series cuz he's retarded @url,1,en
trevor belmont faggot yupp love,1,en
got banned called desiinger retard,1,en
learn speak ching chong  um @url,1,en
@user @user @user @user hildebrand twat pure simple.,1,en
@user gebby miss mongol japon ka?,1,en
@user @user @user okay white family loves you.,1,en
@user dudes started pulling eyes back started yelling ching chong once. outraged,1,en
@user @user explaining defend illegal aliens citizens? @url,1,en
@user spic got eye u ingrates,1,en
thete nrrd call corina cunt! need!!,1,en
meant funny...fuckin cunt @url,1,en
@user comes movie since saying retard unwoke replaced family friendly version,1,en
grandma teach children spanish reason immigrants refuse learn/speak english fe @url,1,en
18. enter illegal aliens. @user used model created bay area politicians like @user repl @url,1,en
#kpop auto-tune ching chong,1,en
@user obviously cunt even know teams history,1,en
@user talk retard,1,en
fella line work takes variety aliases. hell even chinaman six months.,1,en
friends retarded particular episode.,0,en
@user course feminazi's roll one other. frauds!,1,en
@user still fucking twat,1,en
today's heated debate ... biggest twat ashley's appointees run #nufc - llambias charnley,1,en
@user fuck defector.nla garbage town garbage fanbase.nalso fuck ginger-bearded twat turner.,1,en
ching ching chong chong dookie dookie,1,en
ain't blame loss lmaoo. retarded. like asf  @url,1,en
@user think jack hobbs fairly mongy though.,1,en
s.o.b retard dangerous asshole planet! shame brasil! @url,1,en
@user know what. dont hire couple thousand peole fly shithole countr @url,1,en
absolute cunt human @url,1,en
@user good anhur man bad luck zhong kui mid retard,1,en
@user @user spic polach,1,en
@user @user retarded cant research...then sure right... @url,1,en
@user @user @user family reached full retard @url,1,en
r shithole countries cuz american &amp; european imperialist capitalism helped make so...+ failing war @url,1,en
yes bc told im deactivating fucking faggot,1,en
@user hes faggot dude can't stand people like,1,en
fucking retard hate older people *claps 4 times* -john mauer 2018,1,en
feminist called fat twat.,1,en
@user wow middle east africa south asia? shithole countries gathered together walk thou @url,1,en
lol know mean! nigger got caught again. @url,1,en
people living shithole countries throw stones. #treeoflifesynagogue @user,1,en
@user @user lives hollywood works buzzfeed; shocked combination produces mongoloid?,1,en
change ur @user fucking mongoloid @user,1,en
thread retarded af ncheck fan page spams  @url,1,en
mongoloid - mongoloid scans mongodb hosts compromised held ransom. @url,1,en
try hardest tweet trump lol cunt @url,1,en
 either crazy retarded thin line separates could ,0,en
easily turn straight boy cock thirsty cum addicted faggot. nnblack cock is.nnn#findom @url,1,en
alec :) _ retarded (: @url,1,en
sarah silverman gone total retard smh @url,1,en
oh well try hard shithole countries-maybe someday happen!,1,en
@user nigga started lagging left retard,1,en
omg tea! using terms hurt offend used sorry idc retarded  @url,0,en
chance defeat vile leftie pussy hat feminazi man-hating bitter bitches brigade. god help us @url,1,en
remember im negro open mind got skin door-wayne,0,en
exams passed collage thank fuck never go mongy place cheeky pay rise @url,1,en
@user could tell lil retarded,1,en
hey twitter nigger shit fuckibg bitch!!! fucking democratic libtard nigger lover!!!!!,1,en
@user @user ur demo believing retard!,1,en
fucking faggot,1,en
@user @user @user u talkin tae ?? stupid cunt know ur place,1,en
@user @user love negro!!!!,1,en
altered original dyke-esque costume b slutty bc tristan inspires b whore n he's eve n going @url,1,en
fucking retard man sad  @url,1,en
@user @user popcorn  selfies stick i'd snap cunt,1,en
@user hes burning funko pop like mongoloid,1,en
@user shit sooo retarded,1,en
@user wtf saying? cause shithole countries collapse. example destroying @url,1,en
mom like ching chong bing bong we're eating bird dinner,1,en
keep mind im negro/so open mind got screen door! #impressive #carterv,1,en
joyeux anniversaire en retard league legends !,0,en
@user @user @user @user @user skipping shithole cities. ndetro @url,1,en
@user @user @user can't say anything stem orange man. bad mongoloi @url,1,en
@user @user back battle bus nigger,1,en
truely little mongy! .  @url,1,en
indian academic plagued left intellectual terrorism amount hue cry would impact unless restrict @url,1,en
fucking retarded fans. durrr jg lost game defense stop them...durrrr,1,en
okay white celebrate australia day #auspol,0,en
@user beautiful life... ching chong ling long,1,en
@user girl give 3 days twitter cunt puts ass lockup again. @url,1,en
cannot believe i'm sluttyjock wrote sharing teamviewer password. really faggot? haha. pr @url,1,en
mongoloid's response @user pointing trump attempt president @url,1,en
@user @user indian giver racist offensive many natives words like kike spic jap etc. @url,1,en
@user @user @user can't believe spic n span van survived wearing make @url,1,en
iconic.. factual! best thing slothy little cunt said long time merry saturday filthy ani @url,1,en
somebody tell faggot ass poe square up. show 17 dick riders,1,en
always nights stopped drinking feel fine morning ones cunt ya,1,en
worry bullshit going godforsaken shithole country leave us alone ca @url,1,en
ces migrants qui veulent sinvestir pourleurope @url,0,en
would beat chink faggot @url,1,en
@user looks like he'd call dirty spic hair long &amp; blonde ,1,en
@user bonge always going full retard. @url,1,en
lol new spic rappers different,1,en
@user ahahah wtf u he's @user pax messaging cunt @url,1,en
@user remove kids usa test fire nukes. country mined shithole needs @url,1,en
@user @user fucking cunt,1,en
@user @user hey retard 4 injured killed,1,en
@url debating different economic systems models go full retard claiming hy @url,1,en
gator chomp faggot shit i've ever seen life.,1,en
@user @user @user @user @user better,0,en
unreal crawling bed 13 hour nightshift next doors yappy little cunt dog wakes ,1,en
etes-vous daccord avec bernard kouchner qui dit que  nous devrions prendre plus de migrants  @url,0,en
austin bought chocolates... negro ate them. at?,1,en
@user @user ching chong,1,en
@user think lil corrected fucking retarded i'm losing brain cells @url,1,en
men democrats see rights illegal aliens ms-13 terrorists etc.,1,en
@user @user @user first thought leftist muslim terrorist. wrong. nee @url,1,en
herenni two parts/a personnboricua/spicnpast presentnalive oppressedngiven cultural beautyn. . . @url,1,en
smiling like retard  @url,1,en
appear mad bomber van cleaned spic-and-span got arrested?,1,en
hey cupcake shooter terrorist extremists leftist anti trumper... anti leo thoughts noted. th @url,1,en
@user @user happy bday @user gay faggot !!,1,en
people say grinch leak fake incineroar ain't literally retarded,1,en
@user @user @user yes u uneducated spic,1,en
@user according fox immigrants card carrying members ms-13... like evil hombres. @url,1,en
hes ching chong chicken nugger lol ; ),1,en
@user @user reported twat,1,en
@user disgrace wants trash us make another shithole country.... @url,1,en
1v1 riot shields round 11 cunt fuck game cunt,1,en
legally say 'ching chong ping ling',0,en
@user felt killed bujy  faggot,1,en
@user bet didnt kids call names tell go back country lol @url,1,en
@user yeah cunt ask i'm goin n shit,1,en
@user seeking support filmaker story negro yangaleader forgered revolt first black town free slaver @url,1,en
cp3 socked nigga retarded  @url,1,en
really dig stories immigrants coming usa making killing shit inspiring fr.,1,en
paul joseph watson stuck whiny incel cunt. keep tear jerking quit acting macho hero c @url,1,en
@user three four years ago america shithole country. now.,0,en
fucking retarded,1,en
much interest benghazi murders? even care raghead.journalist? nah gun @url,1,en
increase much dyke is? like babies dykes take pics iunno i'm drawing wherever,0,en
tweeted last one. doubling cunt. @url,1,en
los quise fucking retarded,1,en
@user got bollocks put name face tweet though you? pathetic cunt.,1,en
@user @user @user @user russia could become civilized mongol hordes invaded.,1,en
@user @user agree let ukrainian refugees better,1,en
everytime get train always cunt sat reserved seat ,1,en
who's serving today faggot #findom,1,en
saying... tucker carson. cant say anything negro,1,en
dan fife biggest retard laconia even close.,1,en
raghead hours!!!!!!,1,en
@user shit piss fuck cunt cocksucker motherfucker tits fart turd twat delete bc obscene af,1,en
ever fuck asian girl fucking mongoloid,1,en
soros owned company used american tax dollars build app help illegal aliens evade authorities. @url,1,en
united gonna ruin fuckin sunday what? lukaku better get dropped shit cunt.,1,en
land immigrants one alien simply latest arrival.,1,en
